ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.7777,-0.0766,9.8253,-0.7705,-0.0809,9.776,-0.0023,0.0019,-0.005,0.0003,-0.0005,-0.0005,30,-42.48,-27.08,-39.75,121.24,0.47,4.51,5,27.373,,,,NaN,,,,0 / 0,21007,2018-08-11 08:38:47:945
-0.792,-0.0766,9.8444,-0.7762,-0.081,9.7755,-0.0069,-0.0055,-0.007,0.0003,-0.0005,0.0007,30,-41.79,-27.05,-41.53,121.15,0.47,4.53,5,28.1,,,,NaN,,,,0 / 0,21507,2018-08-11 08:38:48:445
-0.7813,-0.0802,9.8169,-0.7775,-0.0797,9.7755,0.003,-0.0005,0.0076,0.0003,-0.0005,0.0007,30,-41.43,-27.07,-40.94,121.75,0.47,4.55,5,23.69,,,,NaN,,,,0 / 0,22008,2018-08-11 08:38:48:946
-0.7861,-0.0802,9.8336,-0.7763,-0.0782,9.7756,-0.0038,0.0028,0.0091,0.0003,-0.0005,0.0007,30,-42.13,-27.08,-39.76,121.22,0.46,4.54,5,22.247,,,,NaN,,,,0 / 0,22507,2018-08-11 08:38:49:445
-0.7944,-0.0969,9.8277,-0.7787,-0.0814,9.7753,-0.005,0.0021,0.0063,0.0003,-0.0005,0.0007,30,-41.24,-26.79,-40.05,121.79,0.48,4.55,5,23.347,,,,NaN,,,,0 / 0,23008,2018-08-11 08:38:49:946
-0.7861,-0.0885,9.8253,-0.7745,-0.081,9.7757,-0.0075,-0.0062,-0.0046,0.0003,-0.0005,0.0007,30,-42.15,-27.37,-40.35,121.23,0.47,4.53,5,27.447,,,,NaN,,,,0 / 0,23507,2018-08-11 08:38:50:445
-0.7825,-0.0742,9.8408,-0.7729,-0.0788,9.7758,-0.0046,0.0041,0.0101,0.0003,-0.0005,0.0007,30,-41.62,-27.05,-41.83,121.15,0.46,4.52,5,22.14,,,,NaN,,,,0 / 0,24006,2018-08-11 08:38:50:944
-0.7872,-0.0694,9.842,-0.7739,-0.0755,9.7758,-0.0056,-0.0045,-0.002,0.0015,-0.0005,0.0007,30,-41.76,-26.48,-40.34,120.27,0.44,4.52,5,20.244,,,,NaN,,,,0 / 0,24508,2018-08-11 08:38:51:446
-0.7538,-0.0802,9.8492,-0.7773,-0.0793,9.7755,0.0026,-0.0017,0.0021,0.0015,-0.0005,0.0007,30,-42.14,-27.38,-39.76,121.22,0.46,4.55,5,21.155,,,,NaN,,,,0 / 0,25006,2018-08-11 08:38:51:944
-0.7729,-0.0813,9.8372,-0.773,-0.0804,9.7758,-0.0003,-0.0027,0.0002,0.0003,-0.0005,0.0007,30,-41.96,-27.06,-41.23,121.19,0.47,4.52,5,23.212,,,,NaN,,,,0 / 0,25507,2018-08-11 08:38:52:445
-0.7872,-0.0885,9.8241,-0.7731,-0.0807,9.7758,-0.0063,-0.0051,0.001,0.0003,-0.0005,0.0007,30,-40.87,-26.18,-40.63,120.82,0.47,4.52,5,23.227,,,,NaN,,,,0 / 0,26007,2018-08-11 08:38:52:945
